Client,Project,Project Code,Currency,Project Status,Total Hours
24  FLOOR,Выработка стратегии,,USD,,
24  FLOOR,Почтомат Реструктуризация долга,,USD,,
A&O Shearman,Regulatory advice,,EUR,,
Acino,Contract Review,,USD,,
ACP Germany,Airport Construction,,UZS,,
ACP Germany,VAT Incentives,,UZS,,
ACWA Power,Independent opinion,,USD,,
ACWA Power,Kungrad EBL - AIIB,,USD,,
ACWA Power Sirdarya,Onshore Account Pledge/Amendment,,USD,,
ADB,ACWA L/C PCG,,USD,,
ADB,Bukhara District Heating,,USD,,
ADB,INDORAMA Financing (Ashurst),,USD,,
ADB,Resource Person Contract,,USD,,
ADB,Tashkent District Heating Project,,USD,,
ADB,Tashkent Hospital O&M PPP,,USD,,
ADB,Technical Assistance,,USD,,
ADB,Technical Support - PPP Law Amendment,,USD,,
ADB,Uzbek MDH Hospitals,,USD,,
ADB,Water Supply and Sanitation Systems,,USD,,
ADCB - Baker McKenzie,Advising on financing to Asakabank,,USD,,
ADUI,Incorporation of JV,,UZS,,
AFRY,Envision BESS Project,,USD,,
AGMK,Metso Outotec (Pinsent Masons),,USD,,
AGRI SOLAR SPV,General legal services,,UZS,,
Agritek Agricultural,Court case,,UZS,,
Agritek Agricultural,Debyut Matters,,UZS,,
Agritek Agricultural,General Legal Services,,UZS,,
AIIB,China Energy Financing,,USD,,
AIIB,Gas Distribution Network,,USD,,
AIIB,Uzbektelecom Financing,,USD,,
Airport consulting,Preparation for Potential Court Case,,EUR,,
Ajman Bank/Hogan Lovells,Advising Ajman Bank on Murabaha Transaction with Asakabank,,USD,,
AKA Bank,Advising on BLA/ILA with Kapitalbank,,EUR,,
AKA Bank,Advising on EUR 25 mln financing to SQB,,EUR,,
AKA Bank,UzQSB matter,,EUR,,
AKA Bank/WFW,Advising on EUR 15 000 000 financing to Agrobank,,USD,,
AKFA Aluminum,Advising on mandate letter with JPM plc.,,UZS,,
AKSA,General legal services,,USD,,
Alarko,Alarko - IFC SS III,,USD,,
Alexei Musteatsa,Aqua-Products - antitrust clearance,,EUR,,
Alexei Musteatsa,Laxisam Pharmaceuticals,,EUR,,
Alexei Musteatsa,LLC Establishing,,EUR,,
